ARDACODE;WAVE;ICOUNTRY;UNREGION;ISO3;RELRECOD;UNINHDI;UNINLEPC;UNIN_INC;UNSATI;UNPOP10
1;2011.46;Afghanistan;15;AFG;7;;0.161;;4.06666666666667;29.1
2;2011.46;Akrotiri;21;;;;;;;
3;2011.46;Albania;19;ALB;7;0.627;0.802;0.512;4.56666666666667;3.2
4;2011.46;Algeria;11;DZA;7;;0.688;;5.56666666666667;35.3666666666667
5;2011.46;American Samoa;14;ASM;;;;;;
6;2011.46;Andorra;19;AND;2;;;;6.76666666666667;0.1
7;2011.46;Angola;10;AGO;2;0.242;0.206;0.334;4.26666666666667;19
8;2011.46;Anguilla;3;AIA;;;;;;
9;2011.46;Antarctica;1;ATA;;;;;;
10;2011.46;Antigua and Barbuda;3;ATG;5;;;;;0.1
11;2011.46;Argentina;17;ARG;2;0.622;0.79;0.46;7.06666666666667;40.7
12;2011.46;Armenia;21;ARM;3;0.619;0.727;0.483;5;3.1
13;2011.46;Aruba;3;ABW;;;;;;
14;2011.46;Australia;2;AUS;2;0.864;0.934;0.702;7.9;21.5
15;2011.46;Austria;22;AUT;2;0.787;0.913;0.709;7.76666666666667;8.4
16;2011.46;Azerbaijan;21;AZE;8;0.614;0.613;0.586;5.26666666666667;8.9
17;2011.46;Bahamas, The;3;BHS;4;0.671;0.777;0.586;;0.3
18;2011.46;Bahrain;21;BHR;8;;0.816;;;0.8
19;2011.46;Bangladesh;15;BGD;7;0.331;0.555;0.299;5.26666666666667;164.4
20;2011.46;Barbados;3;BRB;5;;0.841;0.631;;0.3
21;2011.46;Belarus;7;BLR;3;0.664;0.716;0.599;5.5;9.56666666666667
22;2011.46;Belgium;22;BEL;2;0.794;0.911;0.701;7.26666666666667;10.6666666666667
23;2011.46;Belize;4;BLZ;2;0.495;0.788;0.282;6.56666666666667;0.3
24;2011.46;Benin;20;BEN;2;0.282;0.404;0.276;3;9.16666666666667
25;2011.46;Bermuda;3;BMU;;;;;;
26;2011.46;Bhutan;15;BTN;14;;;;;0.7
27;2011.46;Bolivia;17;BOL;2;0.398;0.534;0.232;6.5;10
28;2011.46;Bosnia and Herzegovina;19;BIH;6;0.565;0.798;0.416;5.76666666666667;3.76666666666667
29;2011.46;Botswana;18;BWA;1;;0.417;;4.7;2
30;2011.46;Bougainville;8;;;;;;;
31;2011.46;Brazil;17;BRA;2;0.509;0.698;0.401;7.56666666666667;195.4
32;2011.46;British Indian Ocean Territory;5;IOT;;;;;;
33;2011.46;British Virgin Islands;3;VGB;;;;;;
34;2011.46;Brunei;16;BRN;6;;0.86;;;0.4
35;2011.46;Bulgaria;7;BGR;3;0.659;0.771;0.545;4.4;7.5
36;2011.46;Burkina Faso;20;BFA;6;0.195;0.296;0.231;3.6;16.3
37;2011.46;Burma (Myanmar);16;MMR;15;;0.418;;;50.5
38;2011.46;Burundi;5;BDI;2;0.177;0.259;0.103962962962963;2.9;8.5
39;2011.46;Cambodia;16;KHM;14;0.351;0.445;0.295;4.9;15.0666666666667
40;2011.46;Cameroon;10;CMR;11;0.304;0.279;0.321;3.9;20
41;2011.46;Canada;12;CAN;2;0.812;0.918;0.698;8;33.8666666666667
